"Word","Key","Count","Keep","Filter","Defining","Bitter","Sweet","Sour","Salty","Chemical","Pungent","Oxidized","Microbiological","Floral","Spicy","Fruity","Vegetative","Nutty","Caramelized","Woody","Earthy","Effect"
"burgundy","burgundy","9",,1,,,,,,,,,,,,,,,,,,
"calm","calm","4",,1,,,,,,,,,,,,,,,,,,
"captivating","captivating","2",,1,,,,,,,,,,,,,,,,,,
"chalk","chalk","2",,1,,,,,,,,,,,,,,,,,,
"chalky","chalk","70",,1,,,,,,,,,,,,,,,,,,
"chardonnay","chardonnay","120",,1,,,,,,,,,,,,,,,,,,
"chewy","chewy","63",,1,,,,,,,,,,,,,,,,,,
"cockburn","cockburn","5",,1,,,,,,,,,,,,,,,,,,
"compelling","compelling","85",,1,,,,,,,,,,,,,,,,,,
"complex","complex","64",,1,,,,,,,,,,,,,,,,,,
"complexity","complexity","34",,1,,,,,,,,,,,,,,,,,,
"cornucopia","cornucopia","8",,1,,,,,,,,,,,,,,,,,,
"cured","cured","7",,1,,,,,,,,,,,,,,,,1,,
"deep","deep","9",,1,,,,,,,,,,,,,,,,,,
"dionysus","dionysus","36",,1,,,,,,,,,,,,,,,,,,
"dolcetto","dolcetto","3",,1,,,,,,,,,,,,,,,,,,
"dominant","dominant","3",,1,,,,,,,,,,,,,,,,,,
"dominate","dominate","11",,1,,,,,,,,,,,,,,,,,,
"dust","dust","36",,1,,,,,,,,,,,,,,,,,,
"dusting","dust","13",,1,,,,,,,,,,,,,,,,,,
"dusty","dust","43",,1,,,,,,,,,,,,,,,,,,
"elephant","elephant","27",,1,,,,,,,,,,,,,,,,,,
"elusive","elusive","7",,1,,,,,,,,,,,,,,,,,,
"endless","endless","14",,1,,,,,,,,,,,,,,,,,,
"ends","ends","2",,1,,,,,,,,,,,,,,,,,,
"exciting","exciting","6",,1,,,,,,,,,,,,,,,,,,
"expensive","expensive","3",,1,,,,,,,,,,,,,,,,,,
"extended","extended","49",,1,,,,,,,,,,,,,,,,,,
"flour","flour","2",,1,,,,,,,,,,,,,,,,,,
"gamey","gamey","18",,1,,,,,,,,,,,,,,,,,,
"gauzy","gauzy","8",,1,,,,,,,,,,,,,,,,,,
"generous","generous","22",,1,,,,,,,,,,,,,,,,,,
"gold","gold","6",,1,,,,,,,,,,,,,,,,,,
"golden","golden","24",,1,,,,,,,,,,,,,,,,,,
"gorgeous","gorgeous","44",,1,,,,,,,,,,,,,,,,,,
"grained","grainy","22",,1,,,,,,,,,,,,,,,,,,
"grainy","grainy","72",,1,,,,,,,,,,,,,,,,,,
"grippy","grippy","30",,1,,,,,,,,,,,,,,,,,,
"grounds","grounds","16",,1,,,,,,,,,,,,,,,,,,
"hair","hair","10",,1,,,,,,,,,,,,,,,,,,
"have","have","47",,1,,,,,,,,,,,,,,,,,,
"heaven","heaven","30",,1,,,,,,,,,,,,,,,,,,
"hedonistic","hedonistic","16",,1,,,,,,,,,,,,,,,,,,
"hyperextended","hyperextended","4",,1,,,,,,,,,,,,,,,,,,
"impeccable","impeccable","5",,1,,,,,,,,,,,,,,,,,,
"impenetrable","impenetrable","2",,1,,,,,,,,,,,,,,,,,,
"ink","ink","2",,1,,,,,,,,,,,,,,,,,,
"inky","ink","9",,1,,,,,,,,,,,,,,,,,,
"juicy","juicy","7",,1,,,,,,,,,,,,,,,,,,
"layered","layered","28",,1,,,,,,,,,,,,,,,,,,
"layers","layers","16",,1,,,,,,,,,,,,,,,,,,
"lingering","lingers","101",,1,,,,,,,,,,,,,,,,,,
"lingers","lingers","81",,1,,,,,,,,,,,,,,,,,,
"lively","lively","27",,1,,,,,,,,,,,,,,,,,,
"lot","lot","169",,1,,,,,,,,,,,,,,,,,,
"luxurious","luxurious","4",,1,,,,,,,,,,,,,,,,,,
"marsanne","marsanne","30",,1,,,,,,,,,,,,,,,,,,
"muskat","muskat","3",,1,,,,,,,,,,,,,,,,,,
"night","night","4",,1,,,,,,,,,,,,,,,,,,
"oasis","oasis","6",,1,,,,,,,,,,,,,,,,,,
"obtrusive","obtrusive","2",,1,,,,,,,,,,,,,,,,,,
"outrageously","outrageously","11",,1,,,,,,,,,,,,,,,,,,
"overripe","overripe","2",,1,,,,,,,,,,,,,,,,,,
"overweighted","overweighted","3",,1,,,,,,,,,,,,,,,,,,
"overwhelms","overwhelms","3",,1,,,,,,,,,,,,,,,,,,
"pale","pale","159",,1,,,,,,,,,,,,,,,,,,
"pasta","pasta","6",,1,,,,,,,,,,,,,,,,,,
"petite","petite","18",,1,,,,,,,,,,,,,,,,,,
"pheasant","pheasant","7",,1,,,,,,,,,,,,,,,,,,
"pink","pink","37",,1,,,,,,,,,,,,,,,,,,
"pinot","pinot","72",,1,,,,,,,,,,,,,,,,,,
"pizza","pizza","6",,1,,,,,,,,,,,,,,,,,,
"plump","plump","32",,1,,,,,,,,,,,,,,,,,,
"port","port","3",,1,,,,,,,,,,,,,,,,,,
"purity","purity","13",,1,,,,,,,,,,,,,,,,,,
"quiet","quiet","28",,1,,,,,,,,,,,,,,,,,,
"raw","raw","2",,1,,,,,,,,,,,,,,,,,,
"refined","refined","45",,1,,,,,,,,,,,,,,,,,,
"ripe","ripe","144",,1,,,,,,,,,,,,,,,,,,
"rolls","rolls","2",,1,,,,,,,,,,,,,,,,,,
"ruby","ruby","113",,1,,,,,,,,,,,,,,,,,,
"saline","saline","6",,1,,,,,,,,,,,,,,,,,,
"salmon","salmon","25",,1,,,,,,,,,,,,,,,,,,
"sauce","sauce","2",,1,,,,,,,,,,,,,,,,,,
"saury","saury","3",,1,,,,,,,,,,,,,,,,,,
"sauvignon","sauvignon","757",,1,,,,,,,,,,,,,,,,,,
"savory","savory","65",,1,,,,,,,,,,,,,,,,,,
"seamless","seamless","19",,1,,,,,,,,,,,,,,,,,,
"seeds","seeds","2",,1,,,,,,,,,,,,,,,,,,
"shavings","shavings","28",,1,,,,,,,,,,,,,,,,,,
"shimmering","shimmering","3",,1,,,,,,,,,,,,,,,,,,
"shimmers","shimmers","2",,1,,,,,,,,,,,,,,,,,,
"shy","shy","10",,1,,,,,,,,,,,,,,,,,,
"silk","silk","2",,1,,,,,,,,,,,,,,,,,,
"sinewy","sinewy","11",,1,,,,,,,,,,,,,,,,,,
"sirah","sirah","14",,1,,,,,,,,,,,,,,,,,,
"small","small","11",,1,,,,,,,,,,,,,,,,,,
"sophistication","sophistication","2",,1,,,,,,,,,,,,,,,,,,
"spectacular","spectacular","7",,1,,,,,,,,,,,,,,,,,,
"springs","springs","33",,1,,,,,,,,,,,,,,,,,,
"spritzy","spritzy","2",,1,,,,,,,,,,,,,,,,,,
"steak","steak","3",,1,,,,,,,,,,,,,,,,,,
"stewed","stewed","12",,1,,,,,,,,,,,,,,,,,,
"stillwater","stillwater","81",,1,,,,,,,,,,,,,,,,,,
"streak","streak","18",,1,,,,,,,,,,,,,,,,,,
"stunning","stunning","7",,1,,,,,,,,,,,,,,,,,,
"sundance","sundance","9",,1,,,,,,,,,,,,,,,,,,
"sweetness","sweetness","28",,1,,,,,,,,,,,,,,,,,,
"thrilling","thrilling","5",,1,,,,,,,,,,,,,,,,,,
"tremendous","tremendous","14",,1,,,,,,,,,,,,,,,,,,
"umami","umami","18",,1,,,,,,,,,,,,,,,,,,
"vibrancy","vibrancy","7",,1,,,,,,,,,,,,,,,,,,
"vibrant","vibrant","31",,1,,,,,,,,,,,,,,,,,,
"vine","vine","7",,1,,,,,,,,,,,,,,,,,,
"viscous","viscous","15",,1,,,,,,,,,,,,,,,,,,
"white","white","168",,1,,,,,,,,,,,,,,,,,,
"?????????",,"92",,1,,,,,,,,,,,,,,,,,,
"??????a",,"2",,1,,,,,,,,,,,,,,,,,,
"??????maurice",,"2",,1,,,,,,,,,,,,,,,,,,
"??????pale",,"2",,1,,,,,,,,,,,,,,,,,,
"100ml",,"43",,1,,,,,,,,,,,,,,,,,,
"10g",,"2",,1,,,,,,,,,,,,,,,,,,
"70g",,"2",,1,,,,,,,,,,,,,,,,,,
"72g",,"2",,1,,,,,,,,,,,,,,,,,,
"78g",,"2",,1,,,,,,,,,,,,,,,,,,
"82g",,"4",,1,,,,,,,,,,,,,,,,,,
"absolutely",,"23",,1,,,,,,,,,,,,,,,,,,
"abundance",,"2",,1,,,,,,,,,,,,,,,,,,
"accompanied",,"2",,1,,,,,,,,,,,,,,,,,,
"accomplishment",,"4",,1,,,,,,,,,,,,,,,,,,
"acid",,"45",,1,,,,,,,,,,,,,,,,,,
"acids",,"2",,1,,,,,,,,,,,,,,,,,,
"across",,"55",,1,,,,,,,,,,,,,,,,,,
"again",,"17",,1,,,,,,,,,,,,,,,,,,
"ahead",,"16",,1,,,,,,,,,,,,,,,,,,
"albari??????o",,"3",,1,,,,,,,,,,,,,,,,,,
"albarino",,"3",,1,,,,,,,,,,,,,,,,,,
"alexandria",,"3",,1,,,,,,,,,,,,,,,,,,
"almost",,"96",,1,,,,,,,,,,,,,,,,,,
"alone",,"3",,1,,,,,,,,,,,,,,,,,,
"along",,"408",,1,,,,,,,,,,,,,,,,,,
"also",,"38",,1,,,,,,,,,,,,,,,,,,
"alternating",,"2",,1,,,,,,,,,,,,,,,,,,
"always",,"4",,1,,,,,,,,,,,,,,,,,,
"amounts",,"18",,1,,,,,,,,,,,,,,,,,,
"announces",,"3",,1,,,,,,,,,,,,,,,,,,
"anywhere",,"2",,1,,,,,,,,,,,,,,,,,,
"appealing",,"211",,1,,,,,,,,,,,,,,,,,,
"approachable",,"2",,1,,,,,,,,,,,,,,,,,,
"approximately",,"21",,1,,,,,,,,,,,,,,,,,,
"ar??????te",,"3",,1,,,,,,,,,,,,,,,,,,
"area",,"3",,1,,,,,,,,,,,,,,,,,,
"aromas",,"484",,1,,,,,,,,,,,,,,,,,,
"aromatic",,"773",,1,,,,,,,,,,,,,,,,,,
"aromatically",,"269",,1,,,,,,,,,,,,,,,,,,
"around",,"23",,1,,,,,,,,,,,,,,,,,,
"artz",,"10",,1,,,,,,,,,,,,,,,,,,
"available",,"7",,1,,,,,,,,,,,,,,,,,,
"avas",,"2",,1,,,,,,,,,,,,,,,,,,
"baby",,"3",,1,,,,,,,,,,,,,,,,,,
"back",,"66",,1,,,,,,,,,,,,,,,,,,
"backend",,"2",,1,,,,,,,,,,,,,,,,,,
"baker?????????s",,"15",,1,,,,,,,,,,,,,,,,,,
"ball",,"10",,1,,,,,,,,,,,,,,,,,,
"bang",,"5",,1,,,,,,,,,,,,,,,,,,
"barrel",,"112",,1,,,,,,,,,,,,,,,,,,
"barriques",,"3",,1,,,,,,,,,,,,,,,,,,
"batavia",,"2",,1,,,,,,,,,,,,,,,,,,
"beast",,"3",,1,,,,,,,,,,,,,,,,,,
"before",,"30",,1,,,,,,,,,,,,,,,,,,
"begins",,"4",,1,,,,,,,,,,,,,,,,,,
"being",,"36",,1,,,,,,,,,,,,,,,,,,
"bel?????????",,"2",,1,,,,,,,,,,,,,,,,,,
"believe",,"2",,1,,,,,,,,,,,,,,,,,,
"below",,"2",,1,,,,,,,,,,,,,,,,,,
"benefit",,"4",,1,,,,,,,,,,,,,,,,,,
"between",,"7",,1,,,,,,,,,,,,,,,,,,
"bigger",,"2",,1,,,,,,,,,,,,,,,,,,
"bight",,"2",,1,,,,,,,,,,,,,,,,,,
"bing",,"3",,1,,,,,,,,,,,,,,,,,,
"bite",,"8",,1,,,,,,,,,,,,,,,,,,
"biting",,"2",,1,,,,,,,,,,,,,,,,,,
"blanc",,"96",,1,,,,,,,,,,,,,,,,,,
"blast",,"12",,1,,,,,,,,,,,,,,,,,,
"bleeding",,"2",,1,,,,,,,,,,,,,,,,,,
"bleeds",,"5",,1,,,,,,,,,,,,,,,,,,
"blended",,"6",,1,,,,,,,,,,,,,,,,,,
"bluff",,"12",,1,,,,,,,,,,,,,,,,,,
"boasts",,"16",,1,,,,,,,,,,,,,,,,,,
"bonded",,"5",,1,,,,,,,,,,,,,,,,,,
"bordeaux",,"9",,1,,,,,,,,,,,,,,,,,,
"bordelaise",,"3",,1,,,,,,,,,,,,,,,,,,
"botrytis",,"3",,1,,,,,,,,,,,,,,,,,,
"bottle",,"56",,1,,,,,,,,,,,,,,,,,,
"bottling",,"7",,1,,,,,,,,,,,,,,,,,,
"boudreaux",,"2",,1,,,,,,,,,,,,,,,,,,
"bouquet",,"6",,1,,,,,,,,,,,,,,,,,,
"breeze",,"4",,1,,,,,,,,,,,,,,,,,,
"brett",,"4",,1,,,,,,,,,,,,,,,,,,
"brilliant",,"8",,1,,,,,,,,,,,,,,,,,,
"brioche",,"8",,1,,,,,,,,,,,,,,,,,,
"broad",,"60",,1,,,,,,,,,,,,,,,,,,
"broadening",,"4",,1,,,,,,,,,,,,,,,,,,
"broadly",,"3",,1,,,,,,,,,,,,,,,,,,
"brooding",,"55",,1,,,,,,,,,,,,,,,,,,
"browning",,"5",,1,,,,,,,,,,,,,,,,,,
"bubble",,"12",,1,,,,,,,,,,,,,,,,,,
"buck",,"6",,1,,,,,,,,,,,,,,,,,,
"built",,"2",,1,,,,,,,,,,,,,,,,,,
"cabernets",,"2",,1,,,,,,,,,,,,,,,,,,
"cabinet",,"15",,1,,,,,,,,,,,,,,,,,,
"cadence",,"3",,1,,,,,,,,,,,,,,,,,,
"can?????????t",,"17",,1,,,,,,,,,,,,,,,,,,
"canelli",,"4",,1,,,,,,,,,,,,,,,,,,
"capped",,"23",,1,,,,,,,,,,,,,,,,,,
"carmen??????re",,"13",,1,,,,,,,,,,,,,,,,,,
"carolyn",,"4",,1,,,,,,,,,,,,,,,,,,
"carry",,"5",,1,,,,,,,,,,,,,,,,,,
"cases",,"1534",,1,,,,,,,,,,,,,,,,,,
"celilo",,"13",,1,,,,,,,,,,,,,,,,,,
"champagne",,"6",,1,,,,,,,,,,,,,,,,,,
"chandler",,"9",,1,,,,,,,,,,,,,,,,,,
"charbonneau",,"4",,1,,,,,,,,,,,,,,,,,,
"chelan",,"2",,1,,,,,,,,,,,,,,,,,,
"chelle",,"10",,1,,,,,,,,,,,,,,,,,,
"cheval",,"82",,1,,,,,,,,,,,,,,,,,,
"chock",,"20",,1,,,,,,,,,,,,,,,,,,
"classically",,"9",,1,,,,,,,,,,,,,,,,,,
"clearly",,"3",,1,,,,,,,,,,,,,,,,,,
"clone",,"7",,1,,,,,,,,,,,,,,,,,,
"clones",,"8",,1,,,,,,,,,,,,,,,,,,
"clos",,"2",,1,,,,,,,,,,,,,,,,,,
"close",,"4",,1,,,,,,,,,,,,,,,,,,
"cloudy",,"7",,1,,,,,,,,,,,,,,,,,,
"club",,"3",,1,,,,,,,,,,,,,,,,,,
"cluster",,"14",,1,,,,,,,,,,,,,,,,,,
"coat",,"4",,1,,,,,,,,,,,,,,,,,,
"coil",,"2",,1,,,,,,,,,,,,,,,,,,
"coiled",,"8",,1,,,,,,,,,,,,,,,,,,
"cold",,"9",,1,,,,,,,,,,,,,,,,,,
"collines",,"83",,1,,,,,,,,,,,,,,,,,,
"colossal",,"2",,1,,,,,,,,,,,,,,,,,,
"come",,"65",,1,,,,,,,,,,,,,,,,,,
"comes",,"70",,1,,,,,,,,,,,,,,,,,,
"coming",,"19",,1,,,,,,,,,,,,,,,,,,
"compellingly",,"5",,1,,,,,,,,,,,,,,,,,,
"compote",,"6",,1,,,,,,,,,,,,,,,,,,
"concentration",,"7",,1,,,,,,,,,,,,,,,,,,
"concrete",,"7",,1,,,,,,,,,,,,,,,,,,
"consecutive",,"2",,1,,,,,,,,,,,,,,,,,,
"considerably",,"33",,1,,,,,,,,,,,,,,,,,,
"consistently",,"5",,1,,,,,,,,,,,,,,,,,,
"constructed",,"3",,1,,,,,,,,,,,,,,,,,,
"continue",,"2",,1,,,,,,,,,,,,,,,,,,
"cordial",,"7",,1,,,,,,,,,,,,,,,,,,
"cordon",,"3",,1,,,,,,,,,,,,,,,,,,
"core",,"22",,1,,,,,,,,,,,,,,,,,,
"cotton",,"2",,1,,,,,,,,,,,,,,,,,,
"cougar",,"12",,1,,,,,,,,,,,,,,,,,,
"cough",,"5",,1,,,,,,,,,,,,,,,,,,
"could",,"8",,1,,,,,,,,,,,,,,,,,,
"count",,"6",,1,,,,,,,,,,,,,,,,,,
"counterpart",,"4",,1,,,,,,,,,,,,,,,,,,
"covered",,"9",,1,,,,,,,,,,,,,,,,,,
"create",,"2",,1,,,,,,,,,,,,,,,,,,
"creek",,"147",,1,,,,,,,,,,,,,,,,,,
"crest",,"3",,1,,,,,,,,,,,,,,,,,,
"cross",,"2",,1,,,,,,,,,,,,,,,,,,
"crowd",,"4",,1,,,,,,,,,,,,,,,,,,
"crushed",,"34",,1,,,,,,,,,,,,,,,,,,
"cut",,"10",,1,,,,,,,,,,,,,,,,,,
"dark",,"602",,1,,,,,,,,,,,,,,,,,,
"darkest",,"2",,1,,,,,,,,,,,,,,,,,,
"dash",,"5",,1,,,,,,,,,,,,,,,,,,
"day",,"11",,1,,,,,,,,,,,,,,,,,,
"decade",,"2",,1,,,,,,,,,,,,,,,,,,
"decant",,"27",,1,,,,,,,,,,,,,,,,,,
"decanter",,"2",,1,,,,,,,,,,,,,,,,,,
"decanting",,"18",,1,,,,,,,,,,,,,,,,,,
"defined",,"2",,1,,,,,,,,,,,,,,,,,,
"degrees",,"97",,1,,,,,,,,,,,,,,,,,,
"delicacy",,"3",,1,,,,,,,,,,,,,,,,,,
"deliciously",,"18",,1,,,,,,,,,,,,,,,,,,
"delightful",,"2",,1,,,,,,,,,,,,,,,,,,
"den",,"20",,1,,,,,,,,,,,,,,,,,,
"density",,"2",,1,,,,,,,,,,,,,,,,,,
"departure",,"2",,1,,,,,,,,,,,,,,,,,,
"depth",,"20",,1,,,,,,,,,,,,,,,,,,
"desert",,"19",,1,,,,,,,,,,,,,,,,,,
"detailed",,"4",,1,,,,,,,,,,,,,,,,,,
"dew",,"3",,1,,,,,,,,,,,,,,,,,,
"dialed",,"2",,1,,,,,,,,,,,,,,,,,,
"different",,"10",,1,,,,,,,,,,,,,,,,,,
"difficult",,"3",,1,,,,,,,,,,,,,,,,,,
"dip",,"8",,1,,,,,,,,,,,,,,,,,,
"distance",,"10",,1,,,,,,,,,,,,,,,,,,
"distinct",,"19",,1,,,,,,,,,,,,,,,,,,
"distinctive",,"16",,1,,,,,,,,,,,,,,,,,,
"distinctly",,"5",,1,,,,,,,,,,,,,,,,,,
"doc",,"2",,1,,,,,,,,,,,,,,,,,,
"doebler",,"3",,1,,,,,,,,,,,,,,,,,,
"dollop",,"8",,1,,,,,,,,,,,,,,,,,,
"downright",,"3",,1,,,,,,,,,,,,,,,,,,
"drinks",,"17",,1,,,,,,,,,,,,,,,,,,
"driven",,"25",,1,,,,,,,,,,,,,,,,,,
"drops",,"6",,1,,,,,,,,,,,,,,,,,,
"due",,"8",,1,,,,,,,,,,,,,,,,,,
"dusky",,"6",,1,,,,,,,,,,,,,,,,,,
"dusted",,"3",,1,,,,,,,,,,,,,,,,,,
"dwelley",,"22",,1,,,,,,,,,,,,,,,,,,
"eastern",,"3",,1,,,,,,,,,,,,,,,,,,
"effortless",,"2",,1,,,,,,,,,,,,,,,,,,
"elements",,"5",,1,,,,,,,,,,,,,,,,,,
"elerding",,"9",,1,,,,,,,,,,,,,,,,,,
"elsewhere",,"2",,1,,,,,,,,,,,,,,,,,,
"emerge",,"17",,1,,,,,,,,,,,,,,,,,,
"emerges",,"5",,1,,,,,,,,,,,,,,,,,,
"emphatic",,"3",,1,,,,,,,,,,,,,,,,,,
"end",,"53",,1,,,,,,,,,,,,,,,,,,
"ending",,"3",,1,,,,,,,,,,,,,,,,,,
"engaging",,"31",,1,,,,,,,,,,,,,,,,,,
"enjoyable",,"132",,1,,,,,,,,,,,,,,,,,,
"enjoyment",,"5",,1,,,,,,,,,,,,,,,,,,
"entirely",,"5",,1,,,,,,,,,,,,,,,,,,
"estate",,"84",,1,,,,,,,,,,,,,,,,,,
"estates",,"2",,1,,,,,,,,,,,,,,,,,,
"even",,"29",,1,,,,,,,,,,,,,,,,,,
"ever",,"8",,1,,,,,,,,,,,,,,,,,,
"evolves",,"5",,1,,,,,,,,,,,,,,,,,,
"example",,"9",,1,,,,,,,,,,,,,,,,,,
"examples",,"4",,1,,,,,,,,,,,,,,,,,,
"exclamation",,"8",,1,,,,,,,,,,,,,,,,,,
"exotic",,"21",,1,,,,,,,,,,,,,,,,,,
"expand",,"2",,1,,,,,,,,,,,,,,,,,,
"explode",,"2",,1,,,,,,,,,,,,,,,,,,
"explodes",,"5",,1,,,,,,,,,,,,,,,,,,
"explosive",,"2",,1,,,,,,,,,,,,,,,,,,
"expression",,"36",,1,,,,,,,,,,,,,,,,,,
"exquisitely",,"4",,1,,,,,,,,,,,,,,,,,,
"extensively",,"13",,1,,,,,,,,,,,,,,,,,,
"extra",,"3",,1,,,,,,,,,,,,,,,,,,
"extremely",,"59",,1,,,,,,,,,,,,,,,,,,
"exuberant",,"2",,1,,,,,,,,,,,,,,,,,,
"face",,"2",,1,,,,,,,,,,,,,,,,,,
"factor",,"2",,1,,,,,,,,,,,,,,,,,,
"fades",,"3",,1,,,,,,,,,,,,,,,,,,
"faint",,"6",,1,,,,,,,,,,,,,,,,,,
"fair",,"51",,1,,,,,,,,,,,,,,,,,,
"fairly",,"72",,1,,,,,,,,,,,,,,,,,,
"fairway",,"7",,1,,,,,,,,,,,,,,,,,,
"fall",,"7",,1,,,,,,,,,,,,,,,,,,
"fallon",,"2",,1,,,,,,,,,,,,,,,,,,
"family",,"12",,1,,,,,,,,,,,,,,,,,,
"famous",,"3",,1,,,,,,,,,,,,,,,,,,
"fans",,"5",,1,,,,,,,,,,,,,,,,,,
"fascinating",,"33",,1,,,,,,,,,,,,,,,,,,
"feathers",,"3",,1,,,,,,,,,,,,,,,,,,
"feeling",,"2",,1,,,,,,,,,,,,,,,,,,
"ferment",,"3",,1,,,,,,,,,,,,,,,,,,
"fermentation",,"43",,1,,,,,,,,,,,,,,,,,,
"fermented",,"208",,1,,,,,,,,,,,,,,,,,,
"fifteen",,"2",,1,,,,,,,,,,,,,,,,,,
"fill",,"23",,1,,,,,,,,,,,,,,,,,,
"filled",,"138",,1,,,,,,,,,,,,,,,,,,
"fills",,"3",,1,,,,,,,,,,,,,,,,,,
"find",,"15",,1,,,,,,,,,,,,,,,,,,
"fine",,"25",,1,,,,,,,,,,,,,,,,,,
"finest",,"5",,1,,,,,,,,,,,,,,,,,,
"first",,"42",,1,,,,,,,,,,,,,,,,,,
"fit",,"4",,1,,,,,,,,,,,,,,,,,,
"five",,"20",,1,,,,,,,,,,,,,,,,,,
"flavored",,"7",,1,,,,,,,,,,,,,,,,,,
"flavors",,"1172",,1,,,,,,,,,,,,,,,,,,
"fleshed",,"3",,1,,,,,,,,,,,,,,,,,,
"floor",,"3",,1,,,,,,,,,,,,,,,,,,
"flows",,"3",,1,,,,,,,,,,,,,,,,,,
"focus",,"10",,1,,,,,,,,,,,,,,,,,,
"for",,"257",,1,,,,,,,,,,,,,,,,,,
"forward",,"33",,1,,,,,,,,,,,,,,,,,,
"found",,"11",,1,,,,,,,,,,,,,,,,,,
"fragrant",,"9",,1,,,,,,,,,,,,,,,,,,
"franc",,"490",,1,,,,,,,,,,,,,,,,,,
"frazier",,"12",,1,,,,,,,,,,,,,,,,,,
"fremont",,"2",,1,,,,,,,,,,,,,,,,,,
"french",,"929",,1,,,,,,,,,,,,,,,,,,
"frequently",,"4",,1,,,,,,,,,,,,,,,,,,
"freshly",,"20",,1,,,,,,,,,,,,,,,,,,
"freshness",,"13",,1,,,,,,,,,,,,,,,,,,
"frizzante",,"4",,1,,,,,,,,,,,,,,,,,,
"from",,"217",,1,,,,,,,,,,,,,,,,,,
"fully",,"14",,1,,,,,,,,,,,,,,,,,,
"fun",,"11",,1,,,,,,,,,,,,,,,,,,
"galitzine",,"2",,1,,,,,,,,,,,,,,,,,,
"gamache",,"27",,1,,,,,,,,,,,,,,,,,,
"gap",,"3",,1,,,,,,,,,,,,,,,,,,
"garnacha",,"2",,1,,,,,,,,,,,,,,,,,,
"garrigue",,"2",,1,,,,,,,,,,,,,,,,,,
"general",,"2",,1,,,,,,,,,,,,,,,,,,
"gently",,"5",,1,,,,,,,,,,,,,,,,,,
"get",,"22",,1,,,,,,,,,,,,,,,,,,
"gets",,"24",,1,,,,,,,,,,,,,,,,,,
"getting",,"5",,1,,,,,,,,,,,,,,,,,,
"gigantic",,"9",,1,,,,,,,,,,,,,,,,,,
"gigantically",,"3",,1,,,,,,,,,,,,,,,,,,
"gilbert",,"6",,1,,,,,,,,,,,,,,,,,,
"given",,"10",,1,,,,,,,,,,,,,,,,,,
"gives",,"5",,1,,,,,,,,,,,,,,,,,,
"gliding",,"2",,1,,,,,,,,,,,,,,,,,,
"gobs",,"3",,1,,,,,,,,,,,,,,,,,,
"goes",,"7",,1,,,,,,,,,,,,,,,,,,
"goff",,"4",,1,,,,,,,,,,,,,,,,,,
"going",,"13",,1,,,,,,,,,,,,,,,,,,
"golden?????????s",,"2",,1,,,,,,,,,,,,,,,,,,
"gorman",,"4",,1,,,,,,,,,,,,,,,,,,
"graceful",,"7",,1,,,,,,,,,,,,,,,,,,
"granny",,"8",,1,,,,,,,,,,,,,,,,,,
